BKG_KEY,POP00_SQMI,MED_AGE,AVE_HH_SZ,AVE_FAM_SZ,MED_HH_INC,P_OWNOCC,P_RENTOCC,P_OCC,P_VAC,P_SFDH,P_TH,P_MFU,P_MARRIED,MED_ROOMS,MED_VAL_AL,P_HS_,P_WH,P_BLK,P_PROTLAND,D2DOWN,D2RAMP,D2PROT,CANMEAN2,YRSOLD,X,Y
245102706001,8369.60000000000,36.10000000000,2.71000000000,3.32000000000,46563.00000000000,0.84400000000,0.15600000000,0.91200000000,0.08800000000,0.78400000000,0.05000000000,0.17000000000,0.61000000000,7.00000000000,81300.00000000000,0.76000000000,0.75000000000,0.24000000000,0.00000000000,8257,1671,765,0.07257000000,62,-76.56079258590,39.35944110160
245102720014,15866.30000000000,45.00000000000,1.94000000000,2.90000000000,21346.00000000000,0.31300000000,0.68700000000,0.95100000000,0.04900000000,0.04600000000,0.09000000000,0.87000000000,0.33500000000,4.00000000000,68900.00000000000,0.80000000000,0.52000000000,0.43000000000,0.00000000000,9214,3095,754,0.08992000000,39,-76.69883741630,39.35816306350
245102713003,2306.70000000000,42.20000000000,2.58000000000,2.98000000000,153821.00000000000,0.92700000000,0.07400000000,1.00000000000,0.00000000000,0.92700000000,0.00000000000,0.07000000000,0.63700000000,8.00000000000,298300.00000000000,0.97000000000,0.91000000000,0.01000000000,0.00000000000,6533,770,660,0.55791000000,64,-76.64026964080,39.35824402300
245102720033,10410.30000000000,32.30000000000,2.78000000000,3.48000000000,44274.00000000000,0.63700000000,0.36300000000,0.94000000000,0.06000000000,0.60500000000,0.06000000000,0.34000000000,0.36500000000,6.00000000000,87800.00000000000,0.78000000000,0.33000000000,0.66000000000,0.00000000000,8491,1864,277,0.18521000000,46,-76.68446259660,39.35968829070
245102713002,4136.20000000000,37.00000000000,2.11000000000,2.98000000000,59722.00000000000,0.55800000000,0.44200000000,0.94400000000,0.05600000000,0.36100000000,0.17000000000,0.47000000000,0.37700000000,6.00000000000,177200.00000000000,0.97000000000,0.86000000000,0.09000000000,0.00000000000,6288,1380,597,0.26339000000,64,-76.63306616180,39.35725065050
245102712004,2804.50000000000,41.30000000000,2.74000000000,3.09000000000,145849.00000000000,0.97000000000,0.03000000000,0.98500000000,0.01500000000,0.91300000000,0.09000000000,0.00000000000,0.71600000000,9.00000000000,347100.00000000000,0.96000000000,0.97000000000,0.00000000000,0.00000000000,6184,2109,607,0.31196000000,64,-76.62400528690,39.35698299970
245102708022,13382.90000000000,34.30000000000,2.14000000000,2.83000000000,30438.00000000000,0.34000000000,0.66000000000,0.86700000000,0.13300000000,0.01400000000,0.36000000000,0.63000000000,0.31500000000,4.00000000000,72200.00000000000,0.81000000000,0.09000000000,0.89000000000,0.05000000000,6802,2655,246,0.10638000000,48,-76.59113378080,39.35817763720
245102705023,7536.30000000000,39.70000000000,2.43000000000,3.01000000000,45469.00000000000,0.97600000000,0.02400000000,1.00000000000,0.00000000000,0.85900000000,0.14000000000,0.00000000000,0.55000000000,7.00000000000,91900.00000000000,0.86000000000,0.78000000000,0.17000000000,0.00000000000,8846,2453,427,0.07376000000,52,-76.54765163550,39.35749385340
245102712003,6259.80000000000,39.40000000000,2.34000000000,2.88000000000,74861.00000000000,0.82200000000,0.17800000000,0.96500000000,0.03500000000,0.66300000000,0.20000000000,0.14000000000,0.45000000000,7.00000000000,187200.00000000000,0.89000000000,0.98000000000,0.01000000000,0.00000000000,6246,3010,662,0.32667000000,64,-76.61322137460,39.35741141210
245102715031,3030.40000000000,63.00000000000,1.34000000000,2.11000000000,48929.00000000000,0.72300000000,0.27700000000,0.91700000000,0.08300000000,0.03500000000,0.17000000000,0.80000000000,0.26000000000,4.00000000000,94700.00000000000,0.98000000000,0.88000000000,0.09000000000,0.00000000000,6088,345,273,0.16761000000,33,-76.64556464940,39.35275355690
